APK,APKPackage,ClassToSearch,MethodToSearch,FoundAtClass,FoundAtMethod,Arguments0,Arguments1,Arguments2,Arguments3,Unit
base.apk,co.garupa,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)",com.reactnativecommunity.geolocation.GeolocationModule$SingleUpdateRequest,void invoke(android.location.Location),100,1.0,,,"virtualinvoke $r3.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)>($r4, 100L, 1.0F, $r1)"
base.apk,co.garupa,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)",com.reactnativecommunity.geolocation.GeolocationModule,void startObserving(com.facebook.react.bridge.ReadableMap),1000,Variable,,,"virtualinvoke $r8.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)>($r3, 1000L, $f0, $r1)"
base.apk,com.a123milhas.app,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)",com.pushio.manager.i0,void j(),0,0.0,,,"virtualinvoke $r1.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)>($r5, 0L, 0.0F, r0, $r6)"
split_wallet.apk,com.alibaba.aliexpresshd,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)",com.zoloz.stack.lite.aplog.core.c.f,void b(android.content.Context),1000,0.0,,,"virtualinvoke $r5.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)>(""network"", 1000L, 0.0F, r0)"
base.apk,com.amazon.dee.app,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),com.amazon.alexa.sensor.location.LocationApiManager,void setConfiguration(java.util.Collection),100,,,,virtualinvoke $r8.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>(100)
base.apk,com.amazon.dee.app,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),com.amazon.alexa.location.GeofenceController,io.reactivex.rxjava3.core.Single getLocationSettings(),105,,,,virtualinvoke $r1.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>(105)
base.apk,com.amazon.dee.app,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setInterval(long),com.amazon.alexa.sensor.location.LocationApiManager,void setConfiguration(java.util.Collection),Variable,,,,virtualinvoke $r8.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setInterval(long)>($l3)
base.apk,com.amazon.dee.app,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setInterval(long),com.amazon.alexa.location.phase3.sensor.nativelocation.NativeLocationSensor,void startInternal(com.amazon.alexa.location.phase3.SensorController$SensorState),300000,,,,virtualinvoke $r3.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setInterval(long)>(300000L)
base.apk,com.amazon.dee.app,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setInterval(long),com.amazon.alexa.location.phase3.sensor.nativelocation.NativeLocationSensor,void startInternal(com.amazon.alexa.location.phase3.SensorController$SensorState),10000,,,,virtualinvoke $r3.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setInterval(long)>(10000L)
base.apk,com.amazon.dee.app,com.google.android.gms.location.FusedLocationProviderClient,"com.google.android.gms.tasks.Task requestLocationUpdates(com.google.android.gms.location.LocationRequest,android.app.PendingIntent)",com.amazon.alexa.location.phase3.sensor.nativelocation.NativeLocationSensor,void startInternal(com.amazon.alexa.location.phase3.SensorController$SensorState),,,,,"virtualinvoke $r5.<com.google.android.gms.location.FusedLocationProviderClient: com.google.android.gms.tasks.Task requestLocationUpdates(com.google.android.gms.location.LocationRequest,android.app.PendingIntent)>($r3, $r1)"
base.apk,com.amazon.dee.app,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)",com.amazon.alexa.pYn,void run(),60000,10.0,,,"virtualinvoke $r2.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)>($r6, 60000L, 10.0F, $r1)"
